epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,421.763,0.57416,0.60399,0.97357,0.71678,0.72727,0.79902,0.60701,0.97577,1.14358,1.04708,6.89774e-05,6.89774e-05,6.89774e-05
65,427.95,0.52464,0.57568,0.94453,0.78089,0.72727,0.94977,0.73669,0.9876,1.13965,1.04737,6.5104e-05,6.5104e-05,6.5104e-05
66,433.836,0.56793,0.60477,0.952,0.78177,0.72708,0.94977,0.7325,0.99898,1.129,1.05822,6.12306e-05,6.12306e-05,6.12306e-05
67,439.812,0.55912,0.61775,0.95609,0.81846,0.72043,0.94977,0.74162,0.97819,1.12,1.06586,5.73573e-05,5.73573e-05,5.73573e-05
68,445.909,0.53897,0.57742,0.92504,0.74189,0.71494,0.85932,0.65117,0.9736,1.16759,1.07223,5.34839e-05,5.34839e-05,5.34839e-05
69,451.483,0.50376,0.55627,0.92179,0.76722,0.70724,0.85932,0.64947,0.9898,1.20569,1.08083,4.96105e-05,4.96105e-05,4.96105e-05
70,458.383,0.47395,0.53452,0.91362,0.76643,0.70197,0.85932,0.64952,1.00974,1.24221,1.08533,4.57371e-05,4.57371e-05,4.57371e-05
71,479.057,0.4701,0.6202,0.94301,0.8127,0.69544,0.85932,0.64733,1.03485,1.26539,1.09379,4.18638e-05,4.18638e-05,4.18638e-05
72,490.913,0.4263,0.59545,0.88939,0.79558,0.69979,0.85932,0.65643,1.03835,1.31666,1.09842,3.79904e-05,3.79904e-05,3.79904e-05
73,499.631,0.43286,0.58181,0.90731,0.7867,0.70243,0.85932,0.65643,1.03425,1.36905,1.09891,3.4117e-05,3.4117e-05,3.4117e-05
74,506.532,0.42611,0.61955,0.90637,0.77947,0.70453,0.85932,0.64729,1.01784,1.37334,1.09692,3.02436e-05,3.02436e-05,3.02436e-05
75,513.182,0.42224,0.60024,0.90407,0.79046,0.70348,0.85932,0.64383,1.00463,1.31979,1.0954,2.63702e-05,2.63702e-05,2.63702e-05
76,519.361,0.41463,0.58427,0.9103,0.7967,0.70312,0.85932,0.64634,0.99727,1.26495,1.09673,2.24969e-05,2.24969e-05,2.24969e-05
77,524.92,0.4206,0.56192,0.9055,0.80728,0.7013,0.85932,0.64634,0.99182,1.21702,1.09687,1.86235e-05,1.86235e-05,1.86235e-05
78,530.605,0.39215,0.56903,0.90354,0.81116,0.70044,0.85932,0.63725,0.99175,1.18708,1.09561,1.47501e-05,1.47501e-05,1.47501e-05
79,536.653,0.37745,0.55911,0.88523,0.81154,0.70019,0.85932,0.63725,0.99457,1.16734,1.09421,1.08768e-05,1.08768e-05,1.08768e-05
80,542.175,0.37349,0.5569,0.87048,0.81315,0.69981,0.85932,0.6373,0.99222,1.16604,1.09243,7.00337e-06,7.00337e-06,7.00337e-06
